"Id",                                           "Name",                                             "Version"
"Microsoft.PowerShell",                         "PowerShell",
"Microsoft.WindowsTerminal",                    "Windows Terminal",
"JanDeDobbeleer.OhMyPosh",                      "Oh My Posh",
"7zip.7zip",                                    "7zip",
"Git.Git",                                      "Git",
"Microsoft.DotNet.SDK.8",                       "DotNet 8 SDK",
"Microsoft.NuGet",                              "NuGet",
"Microsoft.PowerToys",                          "Power Toys",
"Microsoft.RemoteDesktopClient",                "Remote Desktop Client",
"Microsoft.SQLServerManagementStudio",          "Microsoft SQL Server Management Studio",
"Microsoft.VisualStudioCode",                   "Visual Studio Code",
"Microsoft.VisualStudio.2022.Community",        "Visual Studio Community 2022",
"Notepad++.Notepad++",                          "Notepad++",
"OpenJS.NodeJS",                                "Node.js",
"VideoLAN.VLC",                                 "VLC",
"AgileBits.1Password",                          "1Password",
"JetBrains.Toolbox",                            "JetBrains Toolbox",
"Google.Chrome",                                "Chrome",
"dotPDN.PaintDotNet",                           "Paint.NET",
"Flow-Launcher.Flow-Launcher",                  "Flow-Launcher",
"Discord.Discord",                              "Discord",
"Stremio.Stremio",                              "Stremio",
"ExpressVPN.ExpressVPN",                        "ExpressVPN",
